2025-05-27 19:08:42.345 | INFO     | backend.server:startup_event:253 - DataBossX API started successfully
2025-05-27 19:08:59.625 | INFO     | backend.server:startup_event:253 - DataBossX API started successfully
2025-05-27 19:09:29.648 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with gpt-4: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-05-27 19:09:29.648 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for gpt-4: 500: LLM analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-05-27 19:09:29.893 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with claude: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}}
2025-05-27 19:09:29.893 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for claude: 500: LLM analysis failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}}
2025-05-27 19:09:30.045 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with gemini: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-05-27 19:09:30.045 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for gemini: 500: LLM analysis failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-05-27 19:12:26.493 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with gpt-4: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-05-27 19:12:26.493 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for gpt-4: 500: LLM analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-05-27 19:12:27.098 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with claude: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}}
2025-05-27 19:12:27.098 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for claude: 500: LLM analysis failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}}
2025-05-27 19:12:27.137 | ERROR    | backend.server:analyze_with_llm:244 - LLM analysis failed with gemini: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-05-27 19:12:27.138 | ERROR    | backend.server:process_document_background:358 - LLM analysis failed for gemini: 500: LLM analysis failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
